id,mesto_na_lestvici,izvajalec,naslov,tednov_na_lestvici,najvi≈°je_mesto,tednov,povp_mesto,feat
342,98,Panic! At The Disco,High Hopes,20,5,20,38.8,False
343,100,Pusha T,The Games We Play,1,100,1,100,False
344,8,Kanye West,Yikes,5,8,5,56.8,False
345,11,Kanye West,All Mine,9,11,9,64.0,False
346,16,Kanye West Featuring PARTYNEXTDOOR,Ghost Town,2,16,2,38.0,True
347,24,Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,2,24,2,58.0,True
348,27,Kanye West,Violent Crimes,2,27,2,56.0,False
349,28,Kanye West,I Thought About Killing You,1,28,1,28,False
350,36,Kanye West,No Mistakes,1,36,1,36,False
351,55,Florida Georgia Line,Simple,20,32,20,43.9,False
352,81,Luke Combs,Must've Never Met You,1,81,1,81,False
353,85,Gorillaz Featuring George Benson,Humility,1,85,1,85,True
354,89,Weezer,Africa,15,51,15,68.4,False
355,96,5 Seconds Of Summer,Youngblood,29,7,29,24.689655172413794,False
356,99,Becky G + Natti Natasha,Sin Pijama,12,70,12,89.33333333333333,False
357,39,KIDS SEE GHOSTS,Reborn,2,39,2,65.0,False
358,42,KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,1,42,1,42,True
359,47,KIDS SEE GHOSTS,Feel The Love,1,47,1,47,False
360,62,KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)",1,62,1,62,False
361,67,KIDS SEE GHOSTS,Fire,1,67,1,67,False
362,69,KIDS SEE GHOSTS,Cudi Montage,1,69,1,69,False
363,73,KIDS SEE GHOSTS,KIDS SEE GHOSTS,1,73,1,73,False
364,84,Kane Brown,Lose It,20,28,20,67.35000000000001,False
365,88,Nicki Minaj Featuring Lil Wayne,Rich Sex,2,56,2,72.0,True
366,90,Lil Skies Featuring Yung Pinch,I Know You,3,79,3,87.0,True
367,13,The Carters,Apes**t,15,13,15,46.733333333333334,False
368,19,XXXTENTACION,Jocelyn Flores,20,19,4,43.5,False
369,42,XXXTENTACION,Everybody Dies In Their Nightmares,7,42,3,59.666666666666664,False
370,43,Nicki Minaj Featuring Ariana Grande,Bed,10,42,10,62.6,True
371,53,"2 Chainz, Drake & Quavo",Bigger &gt; You,2,53,2,56.5,True
372,55,BLACKPINK,DDU-DU DDU-DU,1,55,1,55,False
373,74,Kygo & Imagine Dragons,Born To Be Yours,2,74,2,84.0,True
374,77,The Carters,Boss,2,77,2,88.0,False
375,78,Martin Garrix Featuring Khalid,Ocean,5,78,5,88.0,True
376,80,XXXTENTACION,Hope,2,70,2,75.0,False
377,84,The Carters,Summer,1,84,1,84,False
378,85,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,19,32,19,63.78947368421053,True
379,95,The Carters,Nice,1,95,1,95,False
380,96,Nas Featuring Kanye West,Cop Shot The Kid,1,96,1,96,True
381,99,The Carters,Friends,1,99,1,99,False
382,58,Demi Lovato,Sober,3,47,3,53.666666666666664,False
383,65,Juice WRLD,Legends,2,65,2,79.5,False
384,88,Keith Urban Featuring Julia Michaels,Coming Home,7,50,7,72.0,True
385,92,Thomas Rhett,Life Changes,14,36,14,58.214285714285715,False
386,95,Ariana Grande Featuring Nicki Minaj,The Light Is Coming,2,89,2,92.0,True
387,97,Clean Bandit Featuring Demi Lovato,Solo,13,58,13,74.92307692307692,True
388,2,Drake,Nonstop,22,2,22,22.272727272727273,False
389,6,Drake,In My Feelings,22,1,22,10.045454545454547,False
390,8,Drake,Emotionless,4,8,4,50.75,False
391,9,Drake Featuring Michael Jackson,Don't Matter To Me,5,9,5,36.6,True
392,13,Drake,Mob Ties,8,13,8,61.125,False
393,14,Drake,Elevate,3,14,3,41.666666666666664,False
394,17,Drake,Survival,2,17,2,43.0,False
395,18,Drake,Can't Take A Joke,4,18,4,56.0,False
396,20,Drake Featuring JAY-Z,Talk Up,3,20,3,59.333333333333336,True
397,21,Drake,8 Out Of 10,3,21,3,59.333333333333336,False
398,27,Drake,Sandra's Rose,2,27,2,45.0,False
399,28,Drake,Summer Games,2,28,2,46.0,False
400,30,Drake,Blue Tint,3,30,3,55.0,False
401,32,Drake,Jaded,2,32,2,49.5,False
402,36,Drake,Is There More,2,36,2,68.0,False
403,37,Drake,That's How You Feel,2,37,2,52.5,False
404,38,Drake,Peak,2,38,2,65.5,False
405,41,Drake Featuring Static Major & Ty Dolla $ign,After Dark,3,41,3,59.666666666666664,True
406,42,Drake,Finesse,2,42,2,60.0,False
407,51,Drake,Ratchet Happy Birthday,1,51,1,51,False
408,56,Drake,Final Fantasy,1,56,1,56,False
409,57,Drake,March 14,1,57,1,57,False
410,63,Queen Naija,Karma,2,63,2,80.5,False
411,76,Morgan Evans,Kiss Somebody,8,53,8,72.25,False
412,86,Luke Bryan,"Sunrise, Sunburn, Sunset",16,35,16,61.75,False
413,93,Old Dominion,Hotel Key,19,48,19,67.36842105263158,False
414,99,Alessia Cara,Growing Pains,8,65,8,80.625,False
415,53,Future,Wifi Lit,1,53,1,53,False
416,60,twenty one pilots,Jumpsuit,4,50,4,69.25,False
417,65,Future,31 Days,2,65,2,82.0,False
418,71,Future,Cuddle My Wrist,1,71,1,71,False
419,73,Meek Mill Featuring Swizz Beatz,Millidelphia,1,73,1,73,True
420,76,Future,Racks Blue,1,76,1,76,False
421,79,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,18,31,18,68.0,True
422,83,Lil Pump,Drug Addicts,1,83,1,83,False
423,88,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,19,52,19,65.21052631578948,True
424,96,Iggy Azalea Feauring Tyga,Kream,1,96,1,96,False
425,11,Ariana Grande,God Is A Woman,22,8,22,23.772727272727273,False
426,44,Childish Gambino,Summertime Magic,5,44,5,78.4,False
427,53,Lauren Daigle,You Say,23,44,23,65.60869565217392,False
428,56,"benny blanco, Halsey & Khalid",Eastside,23,16,23,29.0,True
429,68,Juice WRLD Featuring Lil Uzi Vert,Wasted,6,67,6,84.0,True
430,71,Eric Church,Desperate Man,15,68,15,89.26666666666667,False
431,72,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,7,72,7,93.71428571428571,True
432,73,Wiz Khalifa Featuring Lil Skies,Fr Fr,1,73,1,73,True
433,79,twenty one pilots,Nico And The Niners,2,79,2,87.0,False
434,84,lovelytheband,Broken,22,29,22,46.63636363636363,False
435,85,Dylan Scott,Hooked,11,48,11,68.0,False
436,87,TK Kravitz Featuring Jacqueez,Ocean,3,76,3,80.33333333333333,True
437,90,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,8,70,8,81.25,True
438,92,Bebe Rexha,I'm A Mess,20,35,20,49.14999999999999,False
439,94,Kygo Featuring Miguel,Remind Me To Forget,11,63,11,76.45454545454545,True
440,4,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,20,3,20,17.15,True
441,37,Imagine Dragons,Natural,22,13,22,25.045454545454547,False
442,60,Chance The Rapper,I Might Need Security,1,60,1,60,False
443,77,Ciara,Level Up,6,59,6,71.0,False
444,81,Daniel Caesar Featuring H.E.R.,Best Part,19,75,19,85.3157894736842,True
445,90,Dennis Lloyd,Nevermind,4,86,4,93.0,False
446,93,Billie Eilish,You Should See Me In A Crown,1,93,1,93,False
447,97,NF,Lie,20,48,20,70.15,False
448,5,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,15,5,15,30.8,True
449,80,Logic Featuring Ryan Tedder,One Day,1,80,1,80,True
450,87,The Chainsmokers Featuring Emily Warren,Side Effects,6,66,6,79.16666666666667,True
451,92,Yella Beezy,That's On Me,20,56,20,76.85,False
452,99,YG Featuring A$AP Rocky,Handgun,2,98,2,98.5,True
453,100,Mitchell Tenpenny,Drunk Me,19,53,19,68.0,False
454,4,Travis Scott,Sicko Mode,20,1,20,4.9,False
455,8,Travis Scott,Stargazing,8,8,8,51.125,False
456,24,Travis Scott,Carousel,2,24,2,52.5,False
457,25,Travis Scott,Yosemite,10,25,10,70.5,False
458,26,Travis Scott,R.I.P Screw,2,26,2,50.5,False
459,27,Travis Scott,Stop Trying To Be God,2,27,2,46.5,False
460,30,Travis Scott,Wake Up,2,30,2,50.5,False
461,31,Travis Scott,No Bystanders,2,31,2,55.0,False
462,36,Travis Scott,5% Tint,2,36,2,62.5,False
463,38,Travis Scott,Can't Say,2,38,2,53.5,False
464,41,Travis Scott,NC-17,1,41,1,41,False
465,43,Travis Scott,Who? What!,1,43,1,43,False
466,47,Travis Scott,Skeletons,1,47,1,47,False
467,48,Travis Scott,Astrothunder,1,48,1,48,False
468,50,Travis Scott,Butterfly Effect,23,50,1,50,False
469,53,Travis Scott,Houstonfornication,1,53,1,53,False
470,60,Bazzi Featuring Camila Cabello,Beautiful,20,30,20,40.6,True
471,68,Travis Scott,Coffee Bean,1,68,1,68,False
472,76,H.E.R. Featuring Bryson Tiller,Could've Been,1,76,1,76,True
473,79,Ella Mai,Trip,20,11,20,29.65,False
474,87,Juice WRLD,Lean Wit Me,8,68,8,82.625,False
475,18,Nicki Minaj,Barbie Dreams,7,18,7,48.0,False
476,46,Trippie Redd,Taking A Walk,3,46,3,72.66666666666667,False
477,58,Nicki Minaj Featuring Eminem & Labrinth,Majesty,1,58,1,58,True
478,60,Nicki Minaj,Ganja Burns,1,60,1,60,False
479,72,Quavo,W O R K I N  M E,15,52,15,72.26666666666667,False
480,87,J. Cole,Album Of The Year (Freestyle),1,87,1,87,False
481,90,Jason Mraz,Have It All,1,90,1,90,False
482,91,Bryce Vine,Drew Barrymore,14,46,14,62.785714285714285,False
483,95,Luke Combs,She Got The Best Of Me ,19,34,19,51.526315789473685,False
484,98,Nicki Minaj Featuring The Weeknd,Thought I Knew You,1,98,1,98,True
485,22,Ariana Grande,Breathin,18,12,18,36.05555555555556,False
486,55,Ariana Grande,Sweetener,1,55,1,55,False
487,62,Ariana Grande,Everytime,1,62,1,62,False
488,63,Marshmello & Bastille,Happier,18,3,18,17.166666666666668,True
489,65,Calvin Harris & Sam Smith,Promises,12,65,12,79.99999999999999,True
490,72,Ariana Grande,R.E.M,1,72,1,72,False
491,77,Russell Dickerson,Blue Tacoma,15,52,15,67.86666666666666,False
492,78,Young Thug Featuring Gunna & Lil Baby,Chanel (Go Get It),4,78,4,85.75,True
493,87,Ariana Grande,Goodnight N Go,1,87,1,87,False
494,88,Janet & Daddy Yankee,Made For Now,1,88,1,88,True
495,99,Ariana Grande,Pete Davidson,1,99,1,99,False
496,11,BTS Featuring Nicki Minaj,IDOL,3,11,3,61.333333333333336,True
497,69,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am,2,69,2,78.0,True
498,72,Ozuna,Unica,1,72,1,72,False
499,82,Sheck Wes,Mo Bamba,17,6,17,26.94117647058824,False
500,83,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),17,56,17,68.17647058823529,True
501,86,Chris Janson,Drunk Girl,10,79,10,87.7,False
502,87,Charlie Puth,The Way I Am,7,61,7,76.28571428571429,False
503,90,Zedd & Elley Duhe,Happy Now,1,90,1,90,True
504,6,Eminem Featuring Joyner Lucas,Lucky You,12,6,12,57.916666666666664,True
505,8,Eminem,The Ringer,4,8,4,50.25,False
506,12,Eminem,Fall,4,12,4,41.25,False
507,16,Eminem,Kamikaze,3,16,3,64.0,False
508,23,Eminem,Greatest,2,23,2,53.5,False
509,24,Eminem Featuring Royce Da 5'9,Not Alike,3,24,3,60.666666666666664,True
510,30,6ix9ine Featuring Anuel AA,BEBE,5,30,5,68.6,True
511,39,Eminem,Normal,1,39,1,39,False
512,42,Eminem,Stepping Stone,1,42,1,42,False
513,49,Eminem,Venom,5,43,5,63.0,False
514,54,Childish Gambino,Feels Like Summer,2,54,2,73.5,False
515,65,Eminem & Jessie Reyez,Nice Guy,1,65,1,65,True
516,67,Eminem Featuring Jessie Reyez,Good Guy,1,67,1,67,True
517,94,"Labrinth, Sia & Diplo Present... LSD",Thunderclouds,5,67,5,81.0,True
518,97,Chris Young,Hangin' On,13,63,13,79.84615384615384,False
519,6,Kanye West & Lil Pump,I Love It,12,6,12,39.0,True
520,13,Machine Gun Kelly,Rap Devil,4,13,4,38.5,False
521,33,Mac Miller,Self Care,3,33,3,63.0,False
522,70,Mac Miller,Hurt Feelings,1,70,1,70,False
523,91,Mac Miller,Come Back To Earth,1,91,1,91,False
524,94,Ozuna x Manuel Turizo,Vaina Loca,2,94,2,97.0,False
525,95,Dan + Shay,Speechless,15,33,15,55.93333333333333,False
526,96,Silk City x Dua Lipa,Electricity,6,93,6,96.0,False
527,3,Eminem,Killshot,8,3,8,53.75,False
528,28,Lil Baby & Gunna,Drip Too Hard,14,4,14,12.071428571428571,True
529,30,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,14,11,14,26.785714285714285,False
530,38,Lil Uzi Vert,New Patek,7,24,7,62.57142857142857,False
531,45,Khalid,Better,14,29,14,50.785714285714285,False
532,47,Lil Peep & XXXTENTACION,Falling Down,11,13,11,61.63636363636363,True
533,76,6LACK Featuring J. Cole,Pretty Little Fears,1,76,1,76,True
534,96,Flipp Dinero,Leave Me Alone,14,27,14,55.5,False
535,97,Jimmie Allen,Best Shot,14,46,14,64.71428571428572,False
536,100,Lil Mosey,Noticed,10,80,10,91.0,False
537,47,French Montana Featuring Drake,No Stylist,13,47,13,74.46153846153847,True
538,64,Avril Lavigne,Head Above Water,2,64,2,78.5,False
539,74,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,10,66,10,81.3,True
540,92,Pardison Fontaine Featuring Cardi B,Backin' It Up,10,64,10,77.6,True
541,96,Maren Morris,Rich,8,62,8,78.375,False
542,2,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,8,2,8,56.5,True
543,5,Lil Wayne Featuring XXXTENTACION,Don't Cry,3,5,3,52.0,True
544,7,Lil Wayne,Uproar,12,7,12,35.75,False
545,10,Lil Wayne Featuring Travis Scott,Let It Fly,2,10,2,38.5,True
546,14,Lil Wayne,Dedicate,2,14,2,46.0,False
547,17,Lil Wayne,Can't Be Broken,2,17,2,54.0,False
548,24,Lil Wayne Featuring Sosamann,What About Me,1,24,1,24,True
549,26,Lil Wayne Featuring Nicki Minaj,Dark Side Of The Moon,1,26,1,26,True
550,27,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,12,11,12,20.833333333333332,True
551,28,Lady Gaga & Bradley Cooper,Shallow,12,5,12,24.666666666666668,True
552,36,Lil Wayne Featuring Reginae Carter,Famous,1,36,1,36,True
553,39,Lil Wayne Featuring Snoop Dogg,Dope N****z,1,39,1,39,True
554,47,Lil Wayne,Open Letter,1,47,1,47,False
555,56,Kodak Black,"If I'm Lyin, I'm Flyin",3,56,3,76.33333333333333,False
556,57,Lil Wayne,Problems,1,57,1,57,False
557,59,Lil Wayne,Hittas,1,59,1,59,False
558,62,Lil Wayne,Open Safe,1,62,1,62,False
559,65,Lil Wayne,Took His Time,1,65,1,65,False
560,74,Lil Wayne,Mess,1,74,1,74,False
561,75,Lil Wayne,Let It All Work Out,1,75,1,75,False
562,76,Lil Wayne Featuring Ashanti & Mack Maine,Start This S**t Off Right,1,76,1,76,True
563,78,Lil Wayne,Used 2,1,78,1,78,False
564,81,Lil Wayne,Demon,1,81,1,81,False
565,86,Lil Wayne,Perfect Strangers,1,86,1,86,False
566,90,Lil Wayne Featuring Nivea,Dope New Gospel,1,90,1,90,True
567,15,Lil Baby & Gunna Featuring Drake,Never Recover,8,15,8,56.625,True
568,18,Halsey,Without Me,11,2,11,7.909090909090909,False
569,25,6ix9ine Featuring Bobby Shmurda,STOOPID,9,25,9,65.77777777777777,True
570,28,Lil Baby,Close Friends,11,28,11,58.90909090909091,False
571,36,Lady Gaga,I'll Never Love Again,6,36,6,68.5,False
572,41,Lady Gaga,Always Remember Us This Way,6,41,6,64.66666666666667,False
573,54,Lil Baby & Gunna Featuring Lil Durk & NAV,Off White VLONE,1,54,1,54,True
574,61,Lil Baby & Gunna,Business Is Business,1,61,1,61,True
575,63,Lady Gaga,Is That Alright?,1,63,1,63,False
576,80,Lil Baby & Gunna,Belly,1,80,1,80,True
577,81,twenty one pilots,My Blood,1,81,1,81,False
578,93,Bradley Cooper,Maybe It's Time,1,93,1,93,False
579,97,Lil Baby,Deep End,1,97,1,97,False
580,98,Lil Baby & Gunna,I Am,1,98,1,98,True
581,2,Kodak Black Featuring Travis Scott & Offset,ZEZE,10,2,10,7.3,True
582,5,Bad Bunny Featuring Drake,MIA,10,5,10,18.5,True
583,48,Quavo Featuring Drake,Flip The Switch,1,48,1,48,True
584,61,Quavo Featuring 21 Savage,Pass Out,1,61,1,61,True
585,86,Quavo,Biggest Alley Oop,1,86,1,86,False
586,88,Quavo Featuring Travis Scott,Rerun,1,88,1,88,True
587,93,Quavo,Huncho Dreams,1,93,1,93,False
588,100,Quavo Featuring Lil Baby,Lose It,1,100,1,100,True
589,9,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),9,4,9,15.444444444444445,True
590,26,Future & Juice WRLD,Fine China,9,26,9,65.66666666666667,True
591,54,Cardi B,Money,9,13,9,27.555555555555557,False
592,65,Billie Eilish,When The Party's Over,9,52,9,63.0,False
593,72,Future & Juice WRLD Featuring Young Scooter,Jet Lag,1,72,1,72,True
594,82,Future & Juice WRLD,Astronauts,1,82,1,82,True
595,83,Khalid & Kane Brown,Saturday Nights,1,83,1,83,True
596,88,Khalid Featuring Empress Of,Suncity,1,88,1,88,True
597,89,Khalid,Vertigo,1,89,1,89,False
598,91,Lil Yachty Featuring Juice WRLD,Yacht Club,1,91,1,91,True
599,92,Juice WRLD,Make It Back,1,92,1,92,False
600,93,Dua Lipa & BLACKPINK,Kiss And Make Up,1,93,1,93,True
601,98,Lil Yachty Featuring Playboi Carti,Get Dripped,1,98,1,98,True
602,100,Dierks Bentley Featuring Brothers Osborne,Burning Man,9,65,9,81.0,True
603,28,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,8,28,8,55.375,True
604,31,Michael Jackson,Thriller,18,4,1,31,False
605,54,TakeOff,Last Memory,2,54,2,61.0,False
606,76,Tory Lanez & Rich The Kid,Talk To Me,8,61,8,75.5,True
607,80,Trippie Redd,Topanga,5,52,5,69.8,False
608,83,Tyga & Nicki Minaj,Dip,6,63,6,79.0,True
609,89,Steve Aoki Featuring BTS,Waste It On Me,1,89,1,89,True
610,90,P!nk,A Million Dreams,1,90,1,90,False
611,94,Dean Lewis,Be Alright,8,63,8,76.25,False
612,97,Lil Mosey,Kamikaze,1,97,1,97,False
613,1,Ariana Grande,"Thank U, Next",7,1,7,1.1428571428571428,False
614,33,Queen,Bohemian Rhapsody,44,2,3,41.0,False
615,38,Metro Boomin Featuring 21 Savage,Don't Come Out The House,4,38,4,68.5,True
616,42,Metro Boomin Featuring 21 Savage,10 Freaky Girls,4,42,4,57.75,True
617,51,Metro Boomin Featuring Gunna,Space Cadet,4,51,4,70.5,True
618,62,Metro Boomin Featuring Travis Scott,Overdue,1,62,1,62,True
619,72,Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher,1,72,1,72,True
620,79,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More,1,79,1,79,True
621,86,Anuel AA & Romeo Santos,Ella Quiere Beber,7,79,7,86.42857142857143,True
622,97,Camila Cabello,Consequences,7,69,7,82.0,False
623,99,TakeOff,Casper,1,99,1,99,False
624,100,Metro Boomin Featuring Travis Scott & Young Thug,Up To Something,1,100,1,100,True
625,16,XXXTENTACION,BAD!,6,16,6,44.833333333333336,False
626,44,Juice WRLD,Armed And Dangerous,6,44,6,59.166666666666664,False
627,55,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,3,55,3,65.0,True
628,73,Trippie Redd,Love Scars 3,1,73,1,73,False
629,79,Imagine Dragons,Bad Liar,1,79,1,79,False
630,89,Trippie Redd Featuring Kodie Shane,Negative Energy,1,89,1,89,True
631,91,Thomas Rhett,Sixteen,6,67,6,84.66666666666667,False
632,93,Dustin Lynch,Good Girl,6,72,6,85.16666666666667,False
633,95,Kip Moore,Last Shot,5,78,5,88.4,False
634,96,Chris Stapleton,Millionaire,3,95,3,95.66666666666667,False
635,98,Trippie Redd,Toxic Waste,1,98,1,98,False
636,81,Kodak Black,Take One,1,81,1,81,False
637,92,City Girls Featuring Cardi B,Twerk,1,92,1,92,True
638,97,Billie Eilish,Ocean Eyes,2,96,2,96.5,False
639,98,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,5,57,5,81.4,True
640,99,Jason Aldean,Girl Like You,4,71,4,85.25,False
641,100,AJR,Burn The House Down,1,100,1,100,False
642,33,Bobby Helms,Jingle Bell Rock,24,13,4,21.75,False
643,43,Wham!,Last Christmas,8,27,4,33.75,False
644,58,6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,4,43,4,69.0,True
645,59,6ix9ine Featuring Tory Lanez,KIKA,4,44,4,59.75,True
646,62,6ix9ine Featuring Lil Baby,TIC TOC,3,53,3,68.66666666666667,True
647,69,Billie Eilish,Come Out And Play,1,69,1,69,False
648,71,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,3,51,3,66.66666666666667,True
649,90,Jacquees,You,4,75,4,87.0,False
650,6,Meek Mill Featuring Drake,Going Bad,3,6,3,15.0,True
651,20,Meek Mill Featuring Rick Ross & JAY-Z,What's Free,2,20,2,40.5,True
652,30,Meek Mill Featuring Cardi B,On Me,2,30,2,56.0,True
653,36,Gene Autry,Rudolph The Red-Nosed Reindeer,3,27,3,30.333333333333332,False
654,39,Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes,3,39,3,72.0,True
655,41,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",3,32,3,35.0,False
656,46,Lil Baby,Pure Cocaine,3,46,3,57.0,False
657,54,Meek Mill Featuring Ella Mai,24/7,3,54,3,79.0,True
658,55,Meek Mill,Intro,1,55,1,55,False
659,57,Meek Mill,Respect The Game,1,57,1,57,False
660,60,Nicki Minaj Featuring Lil Wayne,Good Form,3,60,3,82.66666666666667,True
661,61,Meek Mill,Trauma,1,61,1,61,False
662,62,Lil Baby Featuring Meek Mill,Time,1,62,1,62,True
663,63,Ski Mask The Slump God Featuring Juice WRLD,Nuketown,3,63,3,86.66666666666667,True
664,64,Kodak Black,Calling My Spirit,3,46,3,54.333333333333336,False
665,66,Lil Baby Featuring Gunna,Ready,1,66,1,66,True
666,67,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,3,56,3,67.66666666666667,True
667,70,Meek Mill,Championships,1,70,1,70,False
668,72,Meek Mill Featuring Kodak Black,Tic Tac Toe,1,72,1,72,True
669,73,Meek Mill,Almost Slipped,1,73,1,73,False
670,77,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",Splash Warning,1,77,1,77,True
671,78,Meek Mill Featuring 21 Savage,Pay You Back,1,78,1,78,True
672,81,Ski Mask The Slump God,Foot Fungus,1,81,1,81,False
673,82,Lil Baby,Crush A Lot,1,82,1,82,False
674,85,Meek Mill,Oodles O' Noodles Babies,1,85,1,85,False
675,91,Lil Baby,Global,1,91,1,91,False
676,98,Lil Baby,Word On The Street,1,98,1,98,False
677,37,XXXTENTACION,whoa (mind in awe),2,37,2,58.0,False
678,40,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),2,35,2,37.5,False
679,41,The Ronettes,Sleigh Ride,2,33,2,37.0,False
680,42,Jose Feliciano,Feliz Navidad,4,34,2,38.0,False
681,48,XXXTENTACION,Guardian Angel,1,48,1,48,False
682,51,XXXTENTACION,I Don't Let Go,1,51,1,51,False
683,62,XXXTENTACION Featuring Kanye West & Travis Barker,One Minute,1,62,1,62,True
684,64,XXXTENTACION,Train Food,1,64,1,64,False
685,65,XXXTENTACION,What Are You So Afraid Of,1,65,1,65,False
686,68,XXXTENTACION,Staring At The Sky,1,68,1,68,False
687,84,XXXTENTACION,Difference (Interlude),1,84,1,84,False
688,95,A Boogie Wit da Hoodie,Look Back At It,2,95,2,95.5,False
689,96,Scotty McCreery,This Is It,2,84,2,90.0,False
690,24,Ariana Grande,Imagine,1,24,1,24,False
691,41,Perry Como,(There's No Place Like) Home For The Holidays,1,41,1,41,False
692,42,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,1,42,1,42,False
693,45,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),1,45,1,45,True
694,47,Paul McCartney,Wonderful Christmastime,1,47,1,47,False
695,48,Bing Crosby,White Christmas,14,12,1,48,False
696,50,Darlene Love,Christmas (Baby Please Come Home),1,50,1,50,False
697,58,Kodak Black Featuring Juice WRLD,MoshPit,1,58,1,58,True
698,68,Katy Perry,Cozy Little Christmas,1,68,1,68,False
699,74,Kodak Black,Testimony,1,74,1,74,False
700,87,Ava Max,Sweet But Psycho,1,87,1,87,False
701,88,Kodak Black Featuring Lil Pump,Gnarly,1,88,1,88,True
702,90,Lauren Daigle,The Christmas Song,1,90,1,90,False
703,91,Calboy,Envy Me,1,91,1,91,False
